id,title,category,aliasList,positionList,url
791,"Bereich I - Biologie, Chemie und Verfahrenstechnik (Campus Nord)",facility,[],"['49.09451', '8.43404']",http://www.kit.edu/b1/index.php
792,"Bereich II - Informatik, Wirtschaft und Gesellschaft (CS)",facility,[],"['49.00949', '8.41163']",http://www.kit.edu/b2/index.php
793,"Bereich II - Informatik, Wirtschaft und Gesellschaft (CN)",facility,[],"['49.09483', '8.43473']",http://www.kit.edu/b2/index.php
794,Bereich III - Maschinenbau und Elektrotechnik (CS),facility,[],"['49.00949', '8.41163']",http://www.kit.edu/b3/index.php
795,Bereich III - Maschinenbau und Elektrotechnik (CN),facility,[],"['49.09461', '8.43408']",http://www.kit.edu/b3/index.php
796,Bereich IV - Natürliche und gebaute Umwelt (CS),facility,[],"['49.00948', '8.41162']",http://www.kit.edu/b4/index.php
797,Bereich IV - Natürliche und gebaute Umwelt (CN),facility,[],"['49.09387', '8.43643']",http://www.kit.edu/b4/index.php
798,Bereich V - Physik und Mathematik (CS),facility,[],"['49.00948', '8.41162']",http://www.kit.edu/b5/index.php
799,Bereich V - Physik und Mathematik (CN),facility,[],"['49.09484', '8.43468']",http://www.kit.edu/b5/index.php
800,440,building,[],"['49.09308', '8.43615']",
804,9675,building,['containergebäude'],"['49.09428', '8.43507']",
805,KIT-Zentrum für Klima und Umwelt,facility,[],"['49.09428', '8.43509']",http://www.klima-umwelt.kit.edu/index.php
806,KIT-Zentrum Energie,facility,[],"['49.09429', '8.43509']",http://www.energie.kit.edu/index.php
807,Projektträger Karlsruhe (PTKA),facility,[],"['49.09429', '8.43509']",http://www.ptka.kit.edu/
808,01.80,building,[],"['49.00987', '8.41098']",
809,20.40,building,[],"['49.01126', '8.41137']",
810,30.48,building,[],"['49.01317', '8.41478']",
811,30.49,building,[],"['49.01351', '8.41538']",
812,"Theorie der Kondensierten Materie, Institut für",institute,[],"['49.01307', '8.41076']",https://www.tkm.kit.edu/
813,Fachbibliothek WIWI,facility,[],"['49.01303', '8.37530']",https://www.wiwi.kit.edu/bib.php
814,"Professur für Industrieökonomik, Institut für Volkswirtschaftslehre (ECON)",institute,[],"['49.01302', '8.37533']",http://io.econ.kit.edu/
815,"Professur für Finanzwissenschaft und Public Management, Institut für Volkswirtschaftslehre (ECON)",institute,[],"['49.01301', '8.37530']",http://fiwi.econ.kit.edu/index.php
816,"Professur für Makroökonomik, Institut für Volkswirtschaftslehre (ECON)",institute,[],"['49.01302', '8.37529']",http://macro.econ.kit.edu/
817,"Professur für Netzwerkökonomie, Institut für Volkswirtschaftslehre (ECON",institute,[],"['49.00891', '8.41131']",http://netze.econ.kit.edu/
818,"Professur für Ökonometrie, Institut für Volkswirtschaftslehre (ECON)",institute,[],"['49.01303', '8.37528']",http://statistik.econ.kit.edu/
