id,identifikator,kategorie,koordinaten,webseite,funktion,name,adresse,postleitzahl,stadtviertel,oeffnungszeiten,rollstuhlgerechtigkeit,rollstuhlbeschreibung,old_identifikator,fakten
275,311,,"['49.09517', '8.42633']",,Feuerwehr,,Linkenheimer Straße,76344.0,Leopoldshafen,,,,311,
276,312,,"['49.09467', '8.42700']",,Service,,Linkenheimer Straße,76344.0,Leopoldshafen,,,,312,
277,313,,"['49.09436', '8.42755']",,Service,,Eggensteiner Straße,76344.0,Leopoldshafen,,,,313,
278,314,,"['49.09479', '8.42934']",,Service,,Karlsruher Allee,76344.0,Leopoldshafen,,,,314,
279,315,,"['49.09585', '8.42655']",,Feuerwehr,,Linkenheimer Straße,76344.0,Leopoldshafen,,,,315,
280,316,,"['49.09475', '8.42656']",,Service,,Linkenheimer Straße,76344.0,Leopoldshafen,,,,316,
281,317,,"['49.09445', '8.42718']",,Service,,Eggensteiner Straße,76344.0,Leopoldshafen,,,,317,
282,318,,"['49.09481', '8.42923']",,Service,,Karlsruher Allee,76344.0,Leopoldshafen,,,,318,
283,320,,"['49.09562', '8.42907']",,,,Weingartener Straße 345,76344.0,Leopoldshafen,,,,320,
284,321,,"['49.09514', '8.42984']",,,,Karlsruher Allee 321,76344.0,Leopoldshafen,,,,321,
285,322,,"['49.09541', '8.42940']",,,,Karlsruher Allee 321,76344.0,Leopoldshafen,,,,322,
286,324,,"['49.09593', '8.42827']",,Service,,Weingartener Straße,76344.0,Leopoldshafen,,,,324,
287,326,,"['49.09538', '8.42897']",,,,Karlsruher Allee 321,76344.0,Leopoldshafen,,,,326,
288,327,,"['49.09576', '8.42928']",,,,Weingartener Straße 345,76344.0,Leopoldshafen,,,,327,
289,328,,"['49.09511', '8.42943']",,,,Karlsruher Allee 321,76344.0,Leopoldshafen,,,,328,
290,329,,"['49.09598', '8.42891']",,,,Weingartener Straße 345,76344.0,Leopoldshafen,,,,329,
291,330,,"['49.09630', '8.42593']",,Service,,Weingartener Straße,76344.0,Leopoldshafen,,,,330,
292,332,,"['49.09616', '8.42633']",,Feuerwehr,,Linkenheimer Straße,76344.0,Leopoldshafen,,,,332,
293,333,,"['49.09600', '8.42612']",,Feuerwehr,,Linkenheimer Straße,76344.0,Leopoldshafen,,,,333,
294,341,,"['49.09673', '8.43008']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,341,
295,343,,"['49.09657', '8.42936']",,,,Leopoldshafener Allee 341,76344.0,Leopoldshafen,,,,343,
296,345,,"['49.09624', '8.42980']",,,,Weingartener Straße 345,76344.0,Leopoldshafen,,,,345,
297,348,,"['49.09675', '8.42863']",,Service,,Spöcker Straße,76344.0,Leopoldshafen,,,,348,
298,349,,"['49.09694', '8.42919']",,Service,,Spöcker Straße,76344.0,Leopoldshafen,,,,349,
299,351,,"['49.09730', '8.42677']",,Service,,Spöcker Straße,76344.0,Leopoldshafen,,,,351,
300,352,,"['49.09704', '8.42750']",,Service,,Linkenheimer Straße,76344.0,Leopoldshafen,,,,352,
301,353,,"['49.09673', '8.42636']",,Service,,Weingartener Straße,76344.0,Leopoldshafen,,,,353,
302,400,,"['49.09290', '8.43620']",,Service,,Friedrichstaler Straße,76344.0,Leopoldshafen,,,,400,
303,401,,"['49.09415', '8.43074']",,,,Karlsruher Allee 401,76344.0,Leopoldshafen,,,,401,
304,402,,"['49.09439', '8.43120']",,Forschung,Institut für Astroteilchenphysik,Karlsruher Allee 402,76344.0,Leopoldshafen,,,,402,
